locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJMONHIK_00079	gene	1074	yhdL			
KJMONHIK_00079	CDS	1074	yhdL			putative anti-sigma-M factor YhdL
KJMONHIK_00080	gene	492	sigM			
KJMONHIK_00080	CDS	492	sigM		COG1595	ECF RNA polymerase sigma factor SigM
KJMONHIK_00081	gene	996	yhdN			
KJMONHIK_00081	CDS	996	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
KJMONHIK_00082	gene	600	plsC			
KJMONHIK_00082	CDS	600	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
KJMONHIK_00083	gene	1128	thiO_1			
KJMONHIK_00083	CDS	1128	thiO_1	1.4.3.19		Glycine oxidase
KJMONHIK_00084	gene	900	hldD			
KJMONHIK_00084	CDS	900	hldD	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
KJMONHIK_00085	gene	1335				
KJMONHIK_00085	CDS	1335				hypothetical protein
KJMONHIK_00086	gene	546				
KJMONHIK_00086	CDS	546				hypothetical protein
KJMONHIK_00087	gene	1182	aspC			
KJMONHIK_00087	CDS	1182	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
KJMONHIK_00088	gene	1386				
KJMONHIK_00088	CDS	1386				hypothetical protein
KJMONHIK_00089	gene	357	crcB_1			
KJMONHIK_00089	CDS	357	crcB_1		COG0239	Putative fluoride ion transporter CrcB
KJMONHIK_00090	gene	396	crcB_2			
KJMONHIK_00090	CDS	396	crcB_2			Putative fluoride ion transporter CrcB
KJMONHIK_00091	gene	732	glpQ_1			
KJMONHIK_00091	CDS	732	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
KJMONHIK_00092	gene	108				
KJMONHIK_00092	CDS	108				hypothetical protein
KJMONHIK_00093	gene	1116				
KJMONHIK_00093	CDS	1116				hypothetical protein
KJMONHIK_00094	gene	744	cobB			
KJMONHIK_00094	CDS	744	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
KJMONHIK_00095	gene	849				
KJMONHIK_00095	CDS	849		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
KJMONHIK_00096	gene	849	dat			
KJMONHIK_00096	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
KJMONHIK_00097	gene	1362	nhaC			
KJMONHIK_00097	CDS	1362	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
KJMONHIK_00098	gene	501	nhaX			
KJMONHIK_00098	CDS	501	nhaX		COG0589	Stress response protein NhaX
KJMONHIK_00099	gene	264				
KJMONHIK_00099	CDS	264				hypothetical protein
KJMONHIK_00100	gene	1758	yheI			
KJMONHIK_00100	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
KJMONHIK_00101	gene	2022	yheH			
KJMONHIK_00101	CDS	2022	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
KJMONHIK_00102	gene	621				
KJMONHIK_00102	CDS	621				hypothetical protein
KJMONHIK_00103	gene	204				
KJMONHIK_00103	CDS	204				Small, acid-soluble spore protein 1
KJMONHIK_00104	gene	210				
KJMONHIK_00104	CDS	210				hypothetical protein
KJMONHIK_00105	gene	1362	yheD			
KJMONHIK_00105	CDS	1362	yheD			Endospore coat-associated protein YheD
KJMONHIK_00106	gene	1092				
KJMONHIK_00106	CDS	1092				hypothetical protein
KJMONHIK_00107	gene	1134				
KJMONHIK_00107	CDS	1134				hypothetical protein
KJMONHIK_00108	gene	354				
KJMONHIK_00108	CDS	354				hypothetical protein
KJMONHIK_00109	gene	1242	yhaZ			
KJMONHIK_00109	CDS	1242	yhaZ		COG4335	putative protein YhaZ
KJMONHIK_00110	gene	867	yhaX			
KJMONHIK_00110	CDS	867	yhaX		COG0561	Stress response protein YhaX
KJMONHIK_00111	gene	1506	hemZ			
KJMONHIK_00111	CDS	1506	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
KJMONHIK_00112	gene	1218	khtU			
KJMONHIK_00112	CDS	1218	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
KJMONHIK_00113	gene	498	khtT_1			
KJMONHIK_00113	CDS	498	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
KJMONHIK_00114	gene	318	khtS			
KJMONHIK_00114	CDS	318	khtS			K(+)/H(+) antiporter modulator KhtS
KJMONHIK_00115	gene	768	paaF			
KJMONHIK_00115	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
KJMONHIK_00116	gene	186				
KJMONHIK_00116	CDS	186				hypothetical protein
KJMONHIK_00117	gene	897				
KJMONHIK_00117	CDS	897		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
KJMONHIK_00118	gene	1260	yhaP			
KJMONHIK_00118	CDS	1260	yhaP		COG1668	putative protein YhaP
KJMONHIK_00119	gene	1224	yhaO			
KJMONHIK_00119	CDS	1224	yhaO		COG0420	putative metallophosphoesterase YhaO
KJMONHIK_00120	gene	2892	yhaN			
KJMONHIK_00120	CDS	2892	yhaN		COG4717	putative protein YhaN
KJMONHIK_00121	gene	945	yhaM			
KJMONHIK_00121	CDS	945	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
KJMONHIK_00122	gene	213	yhaL			
KJMONHIK_00122	CDS	213	yhaL			Sporulation protein YhaL
KJMONHIK_00123	gene	855	prsA			
KJMONHIK_00123	CDS	855	prsA	5.2.1.8	COG0760	Foldase protein PrsA
KJMONHIK_00124	gene	519				
KJMONHIK_00124	CDS	519				hypothetical protein
KJMONHIK_00125	gene	333	yhaI			
KJMONHIK_00125	CDS	333	yhaI			putative protein YhaI
KJMONHIK_00126	gene	612	hpr			
KJMONHIK_00126	CDS	612	hpr		COG1846	HTH-type transcriptional regulator Hpr
KJMONHIK_00127	gene	402				
KJMONHIK_00127	CDS	402				hypothetical protein
KJMONHIK_00128	gene	180				
KJMONHIK_00128	CDS	180				hypothetical protein
KJMONHIK_00129	gene	519	trpP			
KJMONHIK_00129	CDS	519	trpP			putative tryptophan transport protein
KJMONHIK_00130	gene	1083	serC			
KJMONHIK_00130	CDS	1083	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
KJMONHIK_00131	gene	438	hit			
KJMONHIK_00131	CDS	438	hit		COG0537	Protein hit
KJMONHIK_00132	gene	744	ecsA_1			
KJMONHIK_00132	CDS	744	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
KJMONHIK_00133	gene	1227				
KJMONHIK_00133	CDS	1227				hypothetical protein
KJMONHIK_00134	gene	711				
KJMONHIK_00134	CDS	711				hypothetical protein
KJMONHIK_00135	gene	1191				
KJMONHIK_00135	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
KJMONHIK_00136	gene	1389				
KJMONHIK_00136	CDS	1389				hypothetical protein
KJMONHIK_00137	gene	315				
KJMONHIK_00137	CDS	315				hypothetical protein
KJMONHIK_00138	gene	501	hmoB			
KJMONHIK_00138	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
KJMONHIK_00139	gene	2145	pbpF			
KJMONHIK_00139	CDS	2145	pbpF		COG0744	Penicillin-binding protein 1F
KJMONHIK_00140	gene	1062	hemE			
KJMONHIK_00140	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
KJMONHIK_00141	gene	933	hemH			
KJMONHIK_00141	CDS	933	hemH	4.99.1.1	COG0276	Ferrochelatase
KJMONHIK_00142	gene	1413	hemY			
KJMONHIK_00142	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
KJMONHIK_00143	gene	576				
KJMONHIK_00143	CDS	576				hypothetical protein
KJMONHIK_00144	gene	2328	smc_1			
KJMONHIK_00144	CDS	2328	smc_1			Chromosome partition protein Smc
KJMONHIK_00145	gene	978	fabHB			
KJMONHIK_00145	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
KJMONHIK_00146	gene	777				
KJMONHIK_00146	CDS	777				hypothetical protein
KJMONHIK_00147	gene	243				
KJMONHIK_00147	CDS	243				hypothetical protein
KJMONHIK_00148	gene	1041	ysdC_1			
KJMONHIK_00148	CDS	1041	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
KJMONHIK_00149	gene	408				
KJMONHIK_00149	CDS	408				hypothetical protein
KJMONHIK_00150	gene	1290	gltT			
KJMONHIK_00150	CDS	1290	gltT			Proton/sodium-glutamate symport protein
KJMONHIK_00151	gene	735				
KJMONHIK_00151	CDS	735			COG1234	putative protein
KJMONHIK_00152	gene	996	lplJ			
KJMONHIK_00152	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
KJMONHIK_00153	gene	645	yhfK			
KJMONHIK_00153	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
KJMONHIK_00154	gene	1590	lcfB_1			
KJMONHIK_00154	CDS	1590	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KJMONHIK_00155	gene	396				
KJMONHIK_00155	CDS	396				hypothetical protein
KJMONHIK_00156	gene	1281	htpX_1			
KJMONHIK_00156	CDS	1281	htpX_1	3.4.24.-		Protease HtpX
KJMONHIK_00157	gene	1146	aprN			
KJMONHIK_00157	CDS	1146	aprN	3.4.21.62		Subtilisin NAT
KJMONHIK_00158	gene	450	wecD_1			
KJMONHIK_00158	CDS	450	wecD_1	2.3.1.210		dTDP-fucosamine acetyltransferase
KJMONHIK_00159	gene	993	yhfP			
KJMONHIK_00159	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
KJMONHIK_00160	gene	972	yhfQ			
KJMONHIK_00160	CDS	972	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
KJMONHIK_00161	gene	582	pspA			
KJMONHIK_00161	CDS	582	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
KJMONHIK_00162	gene	1095	yhfS			
KJMONHIK_00162	CDS	1095	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
KJMONHIK_00163	gene	1440	yhfT			
KJMONHIK_00163	CDS	1440	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
KJMONHIK_00164	gene	561	bioY_1			
KJMONHIK_00164	CDS	561	bioY_1		COG1268	putative biotin transporter BioY
KJMONHIK_00165	gene	1299	hemAT			
KJMONHIK_00165	CDS	1299	hemAT		COG0840	Heme-based aerotactic transducer HemAT
KJMONHIK_00166	gene	1530	petC_1			
KJMONHIK_00166	CDS	1530	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
KJMONHIK_00167	gene	858	ydaD_2			
KJMONHIK_00167	CDS	858	ydaD_2	1.-.-.-		General stress protein 39
KJMONHIK_00168	gene	234				
KJMONHIK_00168	CDS	234				hypothetical protein
KJMONHIK_00169	gene	579	comK			
KJMONHIK_00169	CDS	579	comK		COG4903	Competence transcription factor
KJMONHIK_00170	gene	900	yghA			
KJMONHIK_00170	CDS	900	yghA	1.-.-.-		putative oxidoreductase YghA
KJMONHIK_00171	gene	270				
KJMONHIK_00171	CDS	270				hypothetical protein
KJMONHIK_00172	gene	1470	yodF_1			
KJMONHIK_00172	CDS	1470	yodF_1		COG0591	putative symporter YodF
KJMONHIK_00173	gene	201				
KJMONHIK_00173	CDS	201				hypothetical protein
KJMONHIK_00174	gene	363				
KJMONHIK_00174	CDS	363				hypothetical protein
KJMONHIK_00175	gene	624				
KJMONHIK_00175	CDS	624				hypothetical protein
KJMONHIK_00176	gene	507	sipV			
KJMONHIK_00176	CDS	507	sipV	3.4.21.89	COG0681	Signal peptidase I V
KJMONHIK_00177	gene	1494	oxyS			
KJMONHIK_00177	CDS	1494	oxyS	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
KJMONHIK_00178	gene	528	pchR_1			
KJMONHIK_00178	CDS	528	pchR_1			HTH-type transcriptional regulator PchR
KJMONHIK_00179	gene	198				
KJMONHIK_00179	CDS	198				hypothetical protein
KJMONHIK_00180	gene	90				
KJMONHIK_00180	CDS	90				hypothetical protein
KJMONHIK_00181	gene	102				
KJMONHIK_00181	CDS	102				hypothetical protein
KJMONHIK_00182	gene	1206	glcP			
KJMONHIK_00182	CDS	1206	glcP		COG0738	Glucose/mannose transporter GlcP
KJMONHIK_00183	gene	1053	ntdC			
KJMONHIK_00183	CDS	1053	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
KJMONHIK_00184	gene	846	ntdB			
KJMONHIK_00184	CDS	846	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
KJMONHIK_00185	gene	1326	ntdA			
KJMONHIK_00185	CDS	1326	ntdA	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
KJMONHIK_00186	gene	990	cytR			
KJMONHIK_00186	CDS	990	cytR		COG1609	HTH-type transcriptional repressor CytR
KJMONHIK_00187	gene	1155				
KJMONHIK_00187	CDS	1155				hypothetical protein
KJMONHIK_00188	gene	1203	mdrP_1			
KJMONHIK_00188	CDS	1203	mdrP_1			Na(+), Li(+), K(+)/H(+) antiporter
KJMONHIK_00189	gene	1728	sgrR			
KJMONHIK_00189	CDS	1728	sgrR		COG4533	HTH-type transcriptional regulator SgrR
KJMONHIK_00190	gene	336				
KJMONHIK_00190	CDS	336				hypothetical protein
KJMONHIK_00191	gene	438				
KJMONHIK_00191	CDS	438				hypothetical protein
KJMONHIK_00192	gene	3501	addB			
KJMONHIK_00192	CDS	3501	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
KJMONHIK_00193	gene	3705	addA			
KJMONHIK_00193	CDS	3705	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
KJMONHIK_00194	gene	1176	cpdA_1			
KJMONHIK_00194	CDS	1176	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KJMONHIK_00195	gene	3393	smc_2			
KJMONHIK_00195	CDS	3393	smc_2			Chromosome partition protein Smc
KJMONHIK_00196	gene	303				
KJMONHIK_00196	CDS	303				hypothetical protein
KJMONHIK_00197	gene	219	gerPF_1			
KJMONHIK_00197	CDS	219	gerPF_1			putative spore germination protein GerPF
KJMONHIK_00198	gene	186	gerPD			
KJMONHIK_00198	CDS	186	gerPD			putative spore germination protein GerPD
KJMONHIK_00199	gene	618	gerPC			
KJMONHIK_00199	CDS	618	gerPC			putative spore germination protein GerPC
KJMONHIK_00200	gene	234	gerPB			
KJMONHIK_00200	CDS	234	gerPB			putative spore germination protein GerPB
KJMONHIK_00201	gene	222	gerPA			
KJMONHIK_00201	CDS	222	gerPA			putative spore germination protein GerPA
KJMONHIK_00202	gene	171	yisI			
KJMONHIK_00202	CDS	171	yisI	3.1.3.-		Aspartyl-phosphate phosphatase YisI
KJMONHIK_00203	gene	924	cotH_1			
KJMONHIK_00203	CDS	924	cotH_1		COG5337	Inner spore coat protein H
KJMONHIK_00204	gene	906	yisK			
KJMONHIK_00204	CDS	906	yisK		COG0179	putative protein YisK
KJMONHIK_00205	gene	357				
KJMONHIK_00205	CDS	357				hypothetical protein
KJMONHIK_00206	gene	2685	wprA			
KJMONHIK_00206	CDS	2685	wprA	3.4.21.-	COG1404	Cell wall-associated protease
KJMONHIK_00207	gene	558				
KJMONHIK_00207	CDS	558				hypothetical protein
KJMONHIK_00208	gene	1845	asnO			
KJMONHIK_00208	CDS	1845	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
KJMONHIK_00209	gene	480	yizA			
KJMONHIK_00209	CDS	480	yizA		COG2318	putative protein YizA
KJMONHIK_00210	gene	807	yisP			
KJMONHIK_00210	CDS	807	yisP	2.5.1.-	COG1562	Putative phytoene/squalene synthase YisP
KJMONHIK_00211	gene	1368	yeeO			
KJMONHIK_00211	CDS	1368	yeeO		COG0534	putative FMN/FAD exporter YeeO
KJMONHIK_00212	gene	864	araC			
KJMONHIK_00212	CDS	864	araC			Arabinose operon regulatory protein
KJMONHIK_00213	gene	1014	degA_1			
KJMONHIK_00213	CDS	1014	degA_1		COG1609	HTH-type transcriptional regulator DegA
KJMONHIK_00214	gene	1035	iolX_1			
KJMONHIK_00214	CDS	1035	iolX_1	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
KJMONHIK_00215	gene	510				
KJMONHIK_00215	CDS	510				hypothetical protein
KJMONHIK_00216	gene	612	argO			
KJMONHIK_00216	CDS	612	argO		COG1279	Arginine exporter protein ArgO
KJMONHIK_00217	gene	1446	norG_1			
KJMONHIK_00217	CDS	1446	norG_1		COG1167	HTH-type transcriptional regulator NorG
KJMONHIK_00218	gene	639				
KJMONHIK_00218	CDS	639				hypothetical protein
KJMONHIK_00219	gene	807				
KJMONHIK_00219	CDS	807		3.1.1.2		Arylesterase
KJMONHIK_00220	gene	600	cysC_1			
KJMONHIK_00220	CDS	600	cysC_1	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
KJMONHIK_00221	gene	1170	sat_1			
KJMONHIK_00221	CDS	1170	sat_1	2.7.7.4	COG2046	Sulfate adenylyltransferase
KJMONHIK_00222	gene	714	cysH_1			
KJMONHIK_00222	CDS	714	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
KJMONHIK_00223	gene	687	comB			
KJMONHIK_00223	CDS	687	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
KJMONHIK_00224	gene	759	yitD			
KJMONHIK_00224	CDS	759	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
KJMONHIK_00225	gene	675				
KJMONHIK_00225	CDS	675				hypothetical protein
KJMONHIK_00226	gene	1116	yitF			
KJMONHIK_00226	CDS	1116	yitF	5.-.-.-	COG4948	Putative isomerase YitF
KJMONHIK_00227	gene	1269	ymfD_1			
KJMONHIK_00227	CDS	1269	ymfD_1			Bacillibactin exporter
KJMONHIK_00228	gene	858				
KJMONHIK_00228	CDS	858				hypothetical protein
KJMONHIK_00229	gene	450				
KJMONHIK_00229	CDS	450				hypothetical protein
KJMONHIK_00230	gene	1839	yitJ			
KJMONHIK_00230	CDS	1839	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
KJMONHIK_00231	gene	492				
KJMONHIK_00231	CDS	492				hypothetical protein
KJMONHIK_00232	gene	849	cvfB			
KJMONHIK_00232	CDS	849	cvfB			Conserved virulence factor B
KJMONHIK_00233	gene	291				
KJMONHIK_00233	CDS	291				hypothetical protein
KJMONHIK_00234	gene	852				
KJMONHIK_00234	CDS	852			COG1307	Fatty acid-binding protein
